theta,phi,obj_id,filename,r,g,b
0,0,1,theta000_phi000_obj001_color.png,79,95,131
0,0,2,theta000_phi000_obj002_color.png,106,71,174
0,0,3,theta000_phi000_obj003_color.png,165,127,163
0,0,4,theta000_phi000_obj004_color.png,220,210,132
0,0,5,theta000_phi000_obj005_color.png,158,195,181
0,20,1,theta000_phi020_obj001_color.png,79,95,131
0,20,2,theta000_phi020_obj002_color.png,106,71,174
0,20,3,theta000_phi020_obj003_color.png,165,127,163
0,20,4,theta000_phi020_obj004_color.png,220,210,132
0,20,5,theta000_phi020_obj005_color.png,158,195,181
0,40,1,theta000_phi040_obj001_color.png,79,95,131
0,40,2,theta000_phi040_obj002_color.png,106,71,174
0,40,3,theta000_phi040_obj003_color.png,165,127,163
0,40,4,theta000_phi040_obj004_color.png,220,210,132
0,40,5,theta000_phi040_obj005_color.png,158,195,181
0,60,1,theta000_phi060_obj001_color.png,79,95,131
0,60,2,theta000_phi060_obj002_color.png,106,71,174
0,60,3,theta000_phi060_obj003_color.png,165,127,163
0,60,4,theta000_phi060_obj004_color.png,220,210,132
0,60,5,theta000_phi060_obj005_color.png,158,195,181
0,80,1,theta000_phi080_obj001_color.png,79,95,131
0,80,2,theta000_phi080_obj002_color.png,106,71,174
0,80,3,theta000_phi080_obj003_color.png,165,127,163
0,80,4,theta000_phi080_obj004_color.png,220,210,132
0,80,5,theta000_phi080_obj005_color.png,158,195,181
0,100,1,theta000_phi100_obj001_color.png,79,95,131
0,100,2,theta000_phi100_obj002_color.png,106,71,174
0,100,3,theta000_phi100_obj003_color.png,165,127,163
0,100,4,theta000_phi100_obj004_color.png,220,210,132
0,100,5,theta000_phi100_obj005_color.png,158,195,181
0,120,1,theta000_phi120_obj001_color.png,79,95,131
0,120,2,theta000_phi120_obj002_color.png,106,71,174
0,120,3,theta000_phi120_obj003_color.png,165,127,163
0,120,4,theta000_phi120_obj004_color.png,220,210,132
0,120,5,theta000_phi120_obj005_color.png,158,195,181
0,140,1,theta000_phi140_obj001_color.png,79,95,131
0,140,2,theta000_phi140_obj002_color.png,106,71,174
0,140,3,theta000_phi140_obj003_color.png,165,127,163
0,140,4,theta000_phi140_obj004_color.png,220,210,132
0,140,5,theta000_phi140_obj005_color.png,158,195,181
0,160,1,theta000_phi160_obj001_color.png,79,95,131
0,160,2,theta000_phi160_obj002_color.png,106,71,174
0,160,3,theta000_phi160_obj003_color.png,165,127,163
0,160,4,theta000_phi160_obj004_color.png,220,210,132
0,160,5,theta000_phi160_obj005_color.png,158,195,181
0,180,1,theta000_phi180_obj001_color.png,79,95,131
0,180,2,theta000_phi180_obj002_color.png,106,71,174
0,180,3,theta000_phi180_obj003_color.png,165,127,163
0,180,4,theta000_phi180_obj004_color.png,220,210,132
0,180,5,theta000_phi180_obj005_color.png,158,195,181
0,200,1,theta000_phi200_obj001_color.png,79,95,131
0,200,2,theta000_phi200_obj002_color.png,106,71,174
0,200,3,theta000_phi200_obj003_color.png,165,127,163
0,200,4,theta000_phi200_obj004_color.png,220,210,132
0,200,5,theta000_phi200_obj005_color.png,158,195,181
0,220,1,theta000_phi220_obj001_color.png,79,95,131
0,220,2,theta000_phi220_obj002_color.png,106,71,174
0,220,3,theta000_phi220_obj003_color.png,165,127,163
0,220,4,theta000_phi220_obj004_color.png,220,210,132
0,220,5,theta000_phi220_obj005_color.png,158,195,181
0,240,1,theta000_phi240_obj001_color.png,79,95,131
0,240,2,theta000_phi240_obj002_color.png,106,71,174
0,240,3,theta000_phi240_obj003_color.png,165,127,163
0,240,4,theta000_phi240_obj004_color.png,220,210,132
0,240,5,theta000_phi240_obj005_color.png,158,195,181
0,260,1,theta000_phi260_obj001_color.png,79,95,131
0,260,2,theta000_phi260_obj002_color.png,106,71,174
0,260,3,theta000_phi260_obj003_color.png,165,127,163
0,260,4,theta000_phi260_obj004_color.png,220,210,132
0,260,5,theta000_phi260_obj005_color.png,158,195,181
0,280,1,theta000_phi280_obj001_color.png,79,95,131
0,280,2,theta000_phi280_obj002_color.png,106,71,174
0,280,3,theta000_phi280_obj003_color.png,165,127,163
0,280,4,theta000_phi280_obj004_color.png,220,210,132
0,280,5,theta000_phi280_obj005_color.png,158,195,181
0,300,1,theta000_phi300_obj001_color.png,79,95,131
0,300,2,theta000_phi300_obj002_color.png,106,71,174
0,300,3,theta000_phi300_obj003_color.png,165,127,163
0,300,4,theta000_phi300_obj004_color.png,220,210,132
0,300,5,theta000_phi300_obj005_color.png,158,195,181
0,320,1,theta000_phi320_obj001_color.png,79,95,131
0,320,2,theta000_phi320_obj002_color.png,106,71,174
0,320,3,theta000_phi320_obj003_color.png,165,127,163
0,320,4,theta000_phi320_obj004_color.png,220,210,132
0,320,5,theta000_phi320_obj005_color.png,158,195,181
0,340,1,theta000_phi340_obj001_color.png,79,95,131
0,340,2,theta000_phi340_obj002_color.png,106,71,174
0,340,3,theta000_phi340_obj003_color.png,165,127,163
0,340,4,theta000_phi340_obj004_color.png,220,210,132
0,340,5,theta000_phi340_obj005_color.png,158,195,181
10,0,1,theta010_phi000_obj001_color.png,79,95,131
10,0,2,theta010_phi000_obj002_color.png,106,71,174
10,0,3,theta010_phi000_obj003_color.png,165,127,163
10,0,4,theta010_phi000_obj004_color.png,220,210,132
10,0,5,theta010_phi000_obj005_color.png,158,195,181
10,20,1,theta010_phi020_obj001_color.png,79,95,131
10,20,2,theta010_phi020_obj002_color.png,106,71,174
10,20,3,theta010_phi020_obj003_color.png,165,127,163
10,20,4,theta010_phi020_obj004_color.png,220,210,132
10,20,5,theta010_phi020_obj005_color.png,158,195,181
10,40,1,theta010_phi040_obj001_color.png,79,95,131
10,40,2,theta010_phi040_obj002_color.png,106,71,174
10,40,3,theta010_phi040_obj003_color.png,165,127,163
10,40,4,theta010_phi040_obj004_color.png,220,210,132
10,40,5,theta010_phi040_obj005_color.png,158,195,181
10,60,1,theta010_phi060_obj001_color.png,79,95,131
10,60,2,theta010_phi060_obj002_color.png,106,71,174
10,60,3,theta010_phi060_obj003_color.png,165,127,163
10,60,4,theta010_phi060_obj004_color.png,220,210,132
10,60,5,theta010_phi060_obj005_color.png,158,195,181
10,80,1,theta010_phi080_obj001_color.png,79,95,131
10,80,2,theta010_phi080_obj002_color.png,106,71,174
10,80,3,theta010_phi080_obj003_color.png,165,127,163
10,80,4,theta010_phi080_obj004_color.png,220,210,132
10,80,5,theta010_phi080_obj005_color.png,158,195,181
10,100,1,theta010_phi100_obj001_color.png,79,95,131
10,100,2,theta010_phi100_obj002_color.png,106,71,174
10,100,3,theta010_phi100_obj003_color.png,165,127,163
10,100,4,theta010_phi100_obj004_color.png,220,210,132
10,100,5,theta010_phi100_obj005_color.png,158,195,181
10,120,1,theta010_phi120_obj001_color.png,79,95,131
10,120,2,theta010_phi120_obj002_color.png,106,71,174
10,120,3,theta010_phi120_obj003_color.png,165,127,163
10,120,4,theta010_phi120_obj004_color.png,220,210,132
10,120,5,theta010_phi120_obj005_color.png,158,195,181
10,140,1,theta010_phi140_obj001_color.png,79,95,131
10,140,2,theta010_phi140_obj002_color.png,106,71,174
10,140,3,theta010_phi140_obj003_color.png,165,127,163
10,140,4,theta010_phi140_obj004_color.png,220,210,132
10,140,5,theta010_phi140_obj005_color.png,158,195,181
10,160,1,theta010_phi160_obj001_color.png,79,95,131
10,160,2,theta010_phi160_obj002_color.png,106,71,174
10,160,3,theta010_phi160_obj003_color.png,165,127,163
10,160,4,theta010_phi160_obj004_color.png,220,210,132
10,160,5,theta010_phi160_obj005_color.png,158,195,181
10,180,1,theta010_phi180_obj001_color.png,79,95,131
10,180,2,theta010_phi180_obj002_color.png,106,71,174
10,180,3,theta010_phi180_obj003_color.png,165,127,163
10,180,4,theta010_phi180_obj004_color.png,220,210,132
10,180,5,theta010_phi180_obj005_color.png,158,195,181
10,200,1,theta010_phi200_obj001_color.png,79,95,131
10,200,2,theta010_phi200_obj002_color.png,106,71,174
10,200,3,theta010_phi200_obj003_color.png,165,127,163
10,200,4,theta010_phi200_obj004_color.png,220,210,132
10,200,5,theta010_phi200_obj005_color.png,158,195,181
10,220,1,theta010_phi220_obj001_color.png,79,95,131
10,220,2,theta010_phi220_obj002_color.png,106,71,174
10,220,3,theta010_phi220_obj003_color.png,165,127,163
10,220,4,theta010_phi220_obj004_color.png,220,210,132
10,220,5,theta010_phi220_obj005_color.png,158,195,181
10,240,1,theta010_phi240_obj001_color.png,79,95,131
10,240,2,theta010_phi240_obj002_color.png,106,71,174
10,240,3,theta010_phi240_obj003_color.png,165,127,163
10,240,4,theta010_phi240_obj004_color.png,220,210,132
10,240,5,theta010_phi240_obj005_color.png,158,195,181
10,260,1,theta010_phi260_obj001_color.png,79,95,131
10,260,2,theta010_phi260_obj002_color.png,106,71,174
10,260,3,theta010_phi260_obj003_color.png,165,127,163
10,260,4,theta010_phi260_obj004_color.png,220,210,132
10,260,5,theta010_phi260_obj005_color.png,158,195,181
10,280,1,theta010_phi280_obj001_color.png,79,95,131
10,280,2,theta010_phi280_obj002_color.png,106,71,174
10,280,3,theta010_phi280_obj003_color.png,165,127,163
10,280,4,theta010_phi280_obj004_color.png,220,210,132
10,280,5,theta010_phi280_obj005_color.png,158,195,181
10,300,1,theta010_phi300_obj001_color.png,79,95,131
10,300,2,theta010_phi300_obj002_color.png,106,71,174
10,300,3,theta010_phi300_obj003_color.png,165,127,163
10,300,4,theta010_phi300_obj004_color.png,220,210,132
10,300,5,theta010_phi300_obj005_color.png,158,195,181
10,320,1,theta010_phi320_obj001_color.png,79,95,131
10,320,2,theta010_phi320_obj002_color.png,106,71,174
10,320,3,theta010_phi320_obj003_color.png,165,127,163
10,320,4,theta010_phi320_obj004_color.png,220,210,132
10,320,5,theta010_phi320_obj005_color.png,158,195,181
10,340,1,theta010_phi340_obj001_color.png,79,95,131
10,340,2,theta010_phi340_obj002_color.png,106,71,174
10,340,3,theta010_phi340_obj003_color.png,165,127,163
10,340,4,theta010_phi340_obj004_color.png,220,210,132
10,340,5,theta010_phi340_obj005_color.png,158,195,181
20,0,1,theta020_phi000_obj001_color.png,79,95,131
20,0,2,theta020_phi000_obj002_color.png,106,71,174
20,0,3,theta020_phi000_obj003_color.png,165,127,163
20,0,4,theta020_phi000_obj004_color.png,220,210,132
20,0,5,theta020_phi000_obj005_color.png,158,195,181
20,20,1,theta020_phi020_obj001_color.png,79,95,131
20,20,2,theta020_phi020_obj002_color.png,106,71,174
20,20,3,theta020_phi020_obj003_color.png,165,127,163
20,20,4,theta020_phi020_obj004_color.png,220,210,132
20,20,5,theta020_phi020_obj005_color.png,158,195,181
20,40,1,theta020_phi040_obj001_color.png,79,95,131
20,40,2,theta020_phi040_obj002_color.png,106,71,174
20,40,3,theta020_phi040_obj003_color.png,165,127,163
20,40,4,theta020_phi040_obj004_color.png,220,210,132
20,40,5,theta020_phi040_obj005_color.png,158,195,181
20,60,1,theta020_phi060_obj001_color.png,79,95,131
20,60,2,theta020_phi060_obj002_color.png,106,71,174
20,60,3,theta020_phi060_obj003_color.png,165,127,163
20,60,4,theta020_phi060_obj004_color.png,220,210,132
20,60,5,theta020_phi060_obj005_color.png,158,195,181
20,80,1,theta020_phi080_obj001_color.png,79,95,131
20,80,2,theta020_phi080_obj002_color.png,106,71,174
20,80,3,theta020_phi080_obj003_color.png,165,127,163
20,80,4,theta020_phi080_obj004_color.png,220,210,132
20,80,5,theta020_phi080_obj005_color.png,158,195,181
20,100,1,theta020_phi100_obj001_color.png,79,95,131
20,100,2,theta020_phi100_obj002_color.png,106,71,174
20,100,3,theta020_phi100_obj003_color.png,165,127,163
20,100,4,theta020_phi100_obj004_color.png,220,210,132
20,100,5,theta020_phi100_obj005_color.png,158,195,181
20,120,1,theta020_phi120_obj001_color.png,79,95,131
20,120,2,theta020_phi120_obj002_color.png,106,71,174
20,120,3,theta020_phi120_obj003_color.png,165,127,163
20,120,4,theta020_phi120_obj004_color.png,220,210,132
20,120,5,theta020_phi120_obj005_color.png,158,195,181
20,140,1,theta020_phi140_obj001_color.png,79,95,131
20,140,2,theta020_phi140_obj002_color.png,106,71,174
20,140,3,theta020_phi140_obj003_color.png,165,127,163
20,140,4,theta020_phi140_obj004_color.png,220,210,132
20,140,5,theta020_phi140_obj005_color.png,158,195,181
20,160,1,theta020_phi160_obj001_color.png,79,95,131
20,160,2,theta020_phi160_obj002_color.png,106,71,174
20,160,3,theta020_phi160_obj003_color.png,165,127,163
20,160,4,theta020_phi160_obj004_color.png,220,210,132
20,160,5,theta020_phi160_obj005_color.png,158,195,181
20,180,1,theta020_phi180_obj001_color.png,79,95,131
20,180,2,theta020_phi180_obj002_color.png,106,71,174
20,180,3,theta020_phi180_obj003_color.png,165,127,163
20,180,4,theta020_phi180_obj004_color.png,220,210,132
20,180,5,theta020_phi180_obj005_color.png,158,195,181
20,200,1,theta020_phi200_obj001_color.png,79,95,131
20,200,2,theta020_phi200_obj002_color.png,106,71,174
20,200,3,theta020_phi200_obj003_color.png,165,127,163
20,200,4,theta020_phi200_obj004_color.png,220,210,132
20,200,5,theta020_phi200_obj005_color.png,158,195,181
20,220,1,theta020_phi220_obj001_color.png,79,95,131
20,220,2,theta020_phi220_obj002_color.png,106,71,174
20,220,3,theta020_phi220_obj003_color.png,165,127,163
20,220,4,theta020_phi220_obj004_color.png,220,210,132
20,220,5,theta020_phi220_obj005_color.png,158,195,181
20,240,1,theta020_phi240_obj001_color.png,79,95,131
20,240,2,theta020_phi240_obj002_color.png,106,71,174
20,240,3,theta020_phi240_obj003_color.png,165,127,163
20,240,4,theta020_phi240_obj004_color.png,220,210,132
20,240,5,theta020_phi240_obj005_color.png,158,195,181
20,260,1,theta020_phi260_obj001_color.png,79,95,131
20,260,2,theta020_phi260_obj002_color.png,106,71,174
20,260,3,theta020_phi260_obj003_color.png,165,127,163
20,260,4,theta020_phi260_obj004_color.png,220,210,132
20,260,5,theta020_phi260_obj005_color.png,158,195,181
20,280,1,theta020_phi280_obj001_color.png,79,95,131
20,280,2,theta020_phi280_obj002_color.png,106,71,174
20,280,3,theta020_phi280_obj003_color.png,165,127,163
20,280,4,theta020_phi280_obj004_color.png,220,210,132
20,280,5,theta020_phi280_obj005_color.png,158,195,181
20,300,1,theta020_phi300_obj001_color.png,79,95,131
20,300,2,theta020_phi300_obj002_color.png,106,71,174
20,300,3,theta020_phi300_obj003_color.png,165,127,163
20,300,4,theta020_phi300_obj004_color.png,220,210,132
20,300,5,theta020_phi300_obj005_color.png,158,195,181
20,320,1,theta020_phi320_obj001_color.png,79,95,131
20,320,2,theta020_phi320_obj002_color.png,106,71,174
20,320,3,theta020_phi320_obj003_color.png,165,127,163
20,320,4,theta020_phi320_obj004_color.png,220,210,132
20,320,5,theta020_phi320_obj005_color.png,158,195,181
20,340,1,theta020_phi340_obj001_color.png,79,95,131
20,340,2,theta020_phi340_obj002_color.png,106,71,174
20,340,3,theta020_phi340_obj003_color.png,165,127,163
20,340,4,theta020_phi340_obj004_color.png,220,210,132
20,340,5,theta020_phi340_obj005_color.png,158,195,181
30,0,1,theta030_phi000_obj001_color.png,79,95,131
30,0,2,theta030_phi000_obj002_color.png,106,71,174
30,0,3,theta030_phi000_obj003_color.png,165,127,163
30,0,4,theta030_phi000_obj004_color.png,220,210,132
30,0,5,theta030_phi000_obj005_color.png,158,195,181
30,20,1,theta030_phi020_obj001_color.png,79,95,131
30,20,2,theta030_phi020_obj002_color.png,106,71,174
30,20,3,theta030_phi020_obj003_color.png,165,127,163
30,20,4,theta030_phi020_obj004_color.png,220,210,132
30,20,5,theta030_phi020_obj005_color.png,158,195,181
30,40,1,theta030_phi040_obj001_color.png,79,95,131
30,40,2,theta030_phi040_obj002_color.png,106,71,174
30,40,3,theta030_phi040_obj003_color.png,165,127,163
30,40,4,theta030_phi040_obj004_color.png,220,210,132
30,40,5,theta030_phi040_obj005_color.png,158,195,181
30,60,1,theta030_phi060_obj001_color.png,79,95,131
30,60,2,theta030_phi060_obj002_color.png,106,71,174
30,60,3,theta030_phi060_obj003_color.png,165,127,163
30,60,4,theta030_phi060_obj004_color.png,220,210,132
30,60,5,theta030_phi060_obj005_color.png,158,195,181
30,80,1,theta030_phi080_obj001_color.png,79,95,131
30,80,2,theta030_phi080_obj002_color.png,106,71,174
30,80,3,theta030_phi080_obj003_color.png,165,127,163
30,80,4,theta030_phi080_obj004_color.png,220,210,132
30,80,5,theta030_phi080_obj005_color.png,158,195,181
30,100,1,theta030_phi100_obj001_color.png,79,95,131
30,100,2,theta030_phi100_obj002_color.png,106,71,174
30,100,3,theta030_phi100_obj003_color.png,165,127,163
30,100,4,theta030_phi100_obj004_color.png,220,210,132
30,100,5,theta030_phi100_obj005_color.png,158,195,181
30,120,1,theta030_phi120_obj001_color.png,79,95,131
30,120,2,theta030_phi120_obj002_color.png,106,71,174
30,120,3,theta030_phi120_obj003_color.png,165,127,163
30,120,4,theta030_phi120_obj004_color.png,220,210,132
30,120,5,theta030_phi120_obj005_color.png,158,195,181
30,140,1,theta030_phi140_obj001_color.png,79,95,131
30,140,2,theta030_phi140_obj002_color.png,106,71,174
30,140,3,theta030_phi140_obj003_color.png,165,127,163
30,140,4,theta030_phi140_obj004_color.png,220,210,132
30,140,5,theta030_phi140_obj005_color.png,158,195,181
30,160,1,theta030_phi160_obj001_color.png,79,95,131
30,160,2,theta030_phi160_obj002_color.png,106,71,174
30,160,3,theta030_phi160_obj003_color.png,165,127,163
30,160,4,theta030_phi160_obj004_color.png,220,210,132
30,160,5,theta030_phi160_obj005_color.png,158,195,181
30,180,1,theta030_phi180_obj001_color.png,79,95,131
30,180,2,theta030_phi180_obj002_color.png,106,71,174
30,180,3,theta030_phi180_obj003_color.png,165,127,163
30,180,4,theta030_phi180_obj004_color.png,220,210,132
30,180,5,theta030_phi180_obj005_color.png,158,195,181
30,200,1,theta030_phi200_obj001_color.png,79,95,131
30,200,2,theta030_phi200_obj002_color.png,106,71,174
30,200,3,theta030_phi200_obj003_color.png,165,127,163
