viewpoint,occlusion
theta000_phi000,39.402985
theta000_phi020,39.374069
theta000_phi040,39.373757
theta000_phi060,39.373757
theta000_phi080,39.375932
theta000_phi100,39.383238
theta000_phi120,39.377955
theta000_phi140,39.398234
theta000_phi160,39.395447
theta000_phi180,39.378882
theta000_phi200,39.393261
theta000_phi220,39.393714
theta000_phi240,39.390623
theta000_phi260,39.398459
theta000_phi280,39.391077
theta000_phi300,39.388440
theta000_phi320,39.376320
theta000_phi340,39.388820
theta010_phi000,38.158402
theta010_phi020,37.740553
theta010_phi040,37.610352
theta010_phi060,37.710963
theta010_phi080,38.011933
theta010_phi100,38.497140
theta010_phi120,39.042976
theta010_phi140,39.615727
theta010_phi160,40.000000
theta010_phi180,40.056232
theta010_phi200,40.117098
theta010_phi220,40.156622
theta010_phi240,40.135053
theta010_phi260,40.073567
theta010_phi280,40.010204
theta010_phi300,39.777567
theta010_phi320,39.216215
theta010_phi340,38.671744
theta020_phi000,38.327530
theta020_phi020,37.397086
theta020_phi040,36.737723
theta020_phi060,36.808750
theta020_phi080,36.875282
theta020_phi100,36.789084
theta020_phi120,37.694035
theta020_phi140,38.852257
theta020_phi160,39.218612
theta020_phi180,39.676431
theta020_phi200,39.940334
theta020_phi220,39.882850
theta020_phi240,39.864070
theta020_phi260,39.898678
theta020_phi280,40.291020
theta020_phi300,40.682087
theta020_phi320,40.262494
theta020_phi340,39.129004
theta030_phi000,40.709424
theta030_phi020,37.386655
theta030_phi040,35.319006
theta030_phi060,35.648028
theta030_phi080,35.357279
theta030_phi100,35.163414
theta030_phi120,36.041710
theta030_phi140,37.527077
theta030_phi160,37.967404
theta030_phi180,38.560158
theta030_phi200,39.450185
theta030_phi220,39.658471
theta030_phi240,39.572122
theta030_phi260,39.927190
theta030_phi280,41.906345
theta030_phi300,43.723658
theta030_phi320,44.202574
theta030_phi340,42.992321
theta040_phi000,43.963370
theta040_phi020,37.079582
theta040_phi040,32.739381
theta040_phi060,32.880889
theta040_phi080,32.845007
theta040_phi100,33.093117
theta040_phi120,33.962608
theta040_phi140,35.792696
theta040_phi160,36.117003
theta040_phi180,37.121821
theta040_phi200,38.660391
theta040_phi220,39.423552
theta040_phi240,39.348120
theta040_phi260,40.840672
theta040_phi280,44.349111
theta040_phi300,47.624887
theta040_phi320,48.579400
theta040_phi340,48.092388
theta050_phi000,46.551771
theta050_phi020,36.628525
theta050_phi040,29.322577
theta050_phi060,29.291330
theta050_phi080,29.626413
theta050_phi100,30.344685
theta050_phi120,31.596928
theta050_phi140,34.160447
theta050_phi160,33.830447
theta050_phi180,35.106784
theta050_phi200,37.653106
theta050_phi220,39.340770
theta050_phi240,39.901576
theta050_phi260,42.888213
theta050_phi280,46.322198
theta050_phi300,48.802267
theta050_phi320,51.080397
theta050_phi340,51.994251
theta060_phi000,47.563700
theta060_phi020,35.630424
theta060_phi040,25.235408
theta060_phi060,25.207525
theta060_phi080,25.742785
theta060_phi100,27.066456
theta060_phi120,31.086753
theta060_phi140,34.305065
theta060_phi160,33.092977
theta060_phi180,34.813023
theta060_phi200,37.606988
theta060_phi220,39.378061
theta060_phi240,41.077553
theta060_phi260,45.519326
theta060_phi280,46.658763
theta060_phi300,47.896472
theta060_phi320,52.848340
theta060_phi340,53.799623
theta070_phi000,46.349542
theta070_phi020,34.224923
theta070_phi040,20.086298
theta070_phi060,20.278758
theta070_phi080,21.755660
theta070_phi100,26.541793
theta070_phi120,33.077991
theta070_phi140,36.813907
theta070_phi160,36.261601
theta070_phi180,36.112606
theta070_phi200,35.957060
theta070_phi220,35.133504
theta070_phi240,36.510283
theta070_phi260,42.996262
theta070_phi280,44.518912
theta070_phi300,47.241710
theta070_phi320,59.305711
theta070_phi340,57.609630
theta080_phi000,40.263510
theta080_phi020,28.609309
theta080_phi040,11.977515
theta080_phi060,14.892369
theta080_phi080,19.916548
theta080_phi100,32.968628
theta080_phi120,39.761845
theta080_phi140,40.456094
theta080_phi160,42.442927
theta080_phi180,38.054393
theta080_phi200,31.024804
theta080_phi220,23.507747
theta080_phi240,23.748598
theta080_phi260,34.430631
theta080_phi280,38.829517
theta080_phi300,42.465808
theta080_phi320,61.247419
theta080_phi340,54.690278
theta090_phi000,39.758222
theta090_phi020,24.388554
theta090_phi040,8.602053
theta090_phi060,13.888604
theta090_phi080,20.760445
theta090_phi100,45.273042
theta090_phi120,53.523279
theta090_phi140,45.812470
theta090_phi160,48.768533
theta090_phi180,42.046791
theta090_phi200,26.163482
theta090_phi220,8.744340
theta090_phi240,10.332117
theta090_phi260,24.678885
theta090_phi280,33.037287
theta090_phi300,38.267459
theta090_phi320,54.537263
theta090_phi340,53.581662
full_scene,37.648401
