viewpoint,avg_distance
theta000_phi000,25.841
theta000_phi020,25.281
theta000_phi040,26.452
theta000_phi060,28.096
theta000_phi080,26.199
theta000_phi100,26.243
theta000_phi120,29.199
theta000_phi140,23.949
theta000_phi160,22.808
theta000_phi180,26.605
theta000_phi200,24.201
theta000_phi220,20.239
theta000_phi240,24.187
theta000_phi260,28.305
theta000_phi280,26.313
theta000_phi300,32.200
theta000_phi320,26.899
theta000_phi340,20.791
theta010_phi000,17.426
theta010_phi020,19.581
theta010_phi040,25.170
theta010_phi060,20.670
theta010_phi080,26.226
theta010_phi100,31.828
theta010_phi120,25.544
theta010_phi140,25.287
theta010_phi160,32.448
theta010_phi180,37.322
theta010_phi200,27.846
theta010_phi220,25.864
theta010_phi240,29.629
theta010_phi260,24.697
theta010_phi280,27.760
theta010_phi300,17.964
theta010_phi320,16.716
theta010_phi340,16.783
theta020_phi000,13.160
theta020_phi020,16.076
theta020_phi040,20.100
theta020_phi060,30.838
theta020_phi080,25.745
theta020_phi100,21.685
theta020_phi120,28.309
theta020_phi140,22.286
theta020_phi160,28.716
theta020_phi180,18.238
theta020_phi200,24.714
theta020_phi220,16.547
theta020_phi240,17.457
theta020_phi260,12.575
theta020_phi280,13.928
theta020_phi300,33.775
theta020_phi320,24.705
theta020_phi340,14.147
theta030_phi000,11.474
theta030_phi020,14.177
theta030_phi040,21.448
theta030_phi060,19.346
theta030_phi080,22.484
theta030_phi100,23.149
theta030_phi120,22.231
theta030_phi140,27.365
theta030_phi160,20.163
theta030_phi180,17.758
theta030_phi200,22.340
theta030_phi220,18.155
theta030_phi240,10.735
theta030_phi260,9.264
theta030_phi280,8.402
theta030_phi300,17.456
theta030_phi320,11.891
theta030_phi340,16.517
theta040_phi000,8.649
theta040_phi020,12.652
theta040_phi040,17.382
theta040_phi060,15.881
theta040_phi080,14.959
theta040_phi100,21.228
theta040_phi120,15.870
theta040_phi140,22.538
theta040_phi160,19.096
theta040_phi180,15.758
theta040_phi200,16.192
theta040_phi220,16.094
theta040_phi240,11.353
theta040_phi260,5.953
theta040_phi280,6.751
theta040_phi300,10.922
theta040_phi320,7.084
theta040_phi340,4.725
theta050_phi000,8.874
theta050_phi020,12.344
theta050_phi040,14.968
theta050_phi060,13.259
theta050_phi080,13.782
theta050_phi100,13.402
theta050_phi120,16.076
theta050_phi140,17.246
theta050_phi160,17.378
theta050_phi180,15.635
theta050_phi200,21.286
theta050_phi220,10.500
theta050_phi240,8.704
theta050_phi260,3.224
theta050_phi280,3.924
theta050_phi300,6.779
theta050_phi320,4.812
theta050_phi340,7.638
theta060_phi000,4.332
theta060_phi020,9.525
theta060_phi040,16.438
theta060_phi060,16.067
theta060_phi080,10.879
theta060_phi100,11.468
theta060_phi120,13.361
theta060_phi140,16.604
theta060_phi160,12.752
theta060_phi180,16.970
theta060_phi200,13.436
theta060_phi220,8.738
theta060_phi240,7.919
theta060_phi260,4.979
theta060_phi280,6.922
theta060_phi300,5.933
theta060_phi320,3.544
theta060_phi340,5.754
theta070_phi000,2.670
theta070_phi020,14.604
theta070_phi040,21.767
theta070_phi060,10.032
theta070_phi080,12.233
theta070_phi100,5.762
theta070_phi120,6.541
theta070_phi140,16.153
theta070_phi160,14.416
theta070_phi180,15.259
theta070_phi200,10.510
theta070_phi220,6.749
theta070_phi240,4.796
theta070_phi260,3.775
theta070_phi280,4.397
theta070_phi300,8.045
theta070_phi320,5.138
theta070_phi340,3.432
theta080_phi000,5.340
theta080_phi020,10.879
theta080_phi040,8.061
theta080_phi060,11.108
theta080_phi080,7.166
theta080_phi100,6.158
theta080_phi120,5.434
theta080_phi140,4.615
theta080_phi160,3.643
theta080_phi180,10.111
theta080_phi200,9.757
theta080_phi220,9.189
theta080_phi240,6.371
theta080_phi260,6.301
theta080_phi280,4.872
theta080_phi300,3.753
theta080_phi320,7.051
theta080_phi340,3.731
theta090_phi000,4.617
theta090_phi020,10.816
theta090_phi040,9.504
theta090_phi060,9.013
theta090_phi080,9.279
theta090_phi100,5.354
theta090_phi120,5.595
theta090_phi140,4.396
theta090_phi160,5.075
theta090_phi180,5.913
theta090_phi200,12.298
theta090_phi220,11.146
theta090_phi240,7.598
theta090_phi260,7.461
theta090_phi280,8.146
theta090_phi300,5.422
theta090_phi320,3.793
theta090_phi340,6.450
full_scene,14.834
