source_obj,source_idx,distance_px
#4f5f83,0,23.770
#4f5f83,0,7.211
#4f5f83,0,26.926
#4f5f83,0,21.633
#4f5f83,0,23.195
#4f5f83,0,10.770
#4f5f83,0,29.017
#4f5f83,0,36.688
#4f5f83,0,41.049
#4f5f83,0,18.028
#4f5f83,0,32.802
#4f5f83,0,38.079
#4f5f83,0,45.277
#4f5f83,0,55.660
#4f5f83,0,67.897
#4f5f83,0,79.006
#6a47ae,1,4.000
#6a47ae,1,5.000
#9ec3b5,2,41.012
#9ec3b5,2,108.706
#9ec3b5,2,12.083
#9ec3b5,2,79.120
#9ec3b5,2,7.071
#9ec3b5,2,49.659
#9ec3b5,2,6.000
#9ec3b5,2,20.518
#9ec3b5,2,12.042
#9ec3b5,2,21.190
#9ec3b5,2,5.000
#a57fa3,3,12.042
#a57fa3,3,12.369
#a57fa3,3,13.000
#a57fa3,3,7.211
#a57fa3,3,10.770
#dcd284,4,7.000

AVG_DISTANCE_PX,28.309
